deck_path,deck_name,valid,playable,validation_error,recommended,recommended_score,trials,seed,max_turns,t1_target,t1_hit,t1_cumulative,t1_live,t1_live_cumulative,t1_combined_cumulative,t1_avg_stage_cost,t1_top_miss,t2_target,t2_hit,t2_cumulative,t2_live,t2_live_cumulative,t2_combined_cumulative,t2_avg_stage_cost,t2_top_miss,t3_target,t3_hit,t3_cumulative,t3_live,t3_live_cumulative,t3_combined_cumulative,t3_avg_stage_cost,t3_top_miss,t4_target,t4_hit,t4_cumulative,t4_live,t4_live_cumulative,t4_combined_cumulative,t4_avg_stage_cost,t4_top_miss
llocg_db_out_full/decklists/deck_2d69085d8135c787adcc.tsv,君ここ,True,True,,2-2 -> 7-2 -> 13-2,88.5,200,29,4,2-2,0.985,0.985,0.34,0.34,0.325,5.6,missing 2 2 (0.01),7-2,0.73,0.715,0.135,0.095,0.045,10.16,missing 7 54 (0.27),13-2,0.915,0.64,0.12,0.02,0.01,20.59,missing 13 17 (0.085),13-7-2,0.995,0.64,0.12,0.0,0.0,25.79,missing 13 1 (0.005)
llocg_db_out_full/decklists/deck_1d64365fb7bf71ac7081.tsv,5軸ミラステ,True,True,,2-2 -> 2-5-2 -> 2-11-2,83.5,200,29,4,2-2,0.97,0.97,0.17,0.17,0.16,7.67,missing 2 5 (0.025),2-5-2,0.865,0.86,0.485,0.075,0.05,8.79,missing 4 23 (0.115),2-11-2,0.89,0.76,0.105,0.01,0.0,16.98,missing 11 22 (0.11),15-5-2,0.625,0.44,0.035,0.0,0.0,28.54,missing 15 75 (0.375)
llocg_db_out_full/decklists/deck_fcc369ef393b3ed66e43.tsv,10軸ミラステ,True,True,,2-2 -> 2-4-2 -> 2-10-2,83.5,200,29,4,2-2,0.98,0.98,0.095,0.095,0.09,8.86,missing 2 4 (0.02),2-4-2,0.905,0.9,0.47,0.055,0.045,9.15,missing 4 15 (0.075),2-10-2,0.93,0.83,0.08,0.0,0.0,21.59,missing 10 14 (0.07),15-4-2,0.66,0.525,0.065,0.0,0.0,30.7,missing 15 68 (0.34)
