deck_path,deck_name,valid,playable,validation_error,recommended,recommended_score,trials,seed,max_turns,t1_target,t1_hit,t1_cumulative,t1_live,t1_live_cumulative,t1_combined_cumulative,t1_avg_stage_cost,t1_top_miss,t2_target,t2_hit,t2_cumulative,t2_live,t2_live_cumulative,t2_combined_cumulative,t2_avg_stage_cost,t2_top_miss,t3_target,t3_hit,t3_cumulative,t3_live,t3_live_cumulative,t3_combined_cumulative,t3_avg_stage_cost,t3_top_miss,t4_target,t4_hit,t4_cumulative,t4_live,t4_live_cumulative,t4_combined_cumulative,t4_avg_stage_cost,t4_top_miss
llocg_db_out_full/decklists/deck_2d69085d8135c787adcc.tsv,君ここ,True,True,,2-2 -> 7-2 -> 13-2,88.5,200,29,4,2-2,0.985,0.985,0.53,0.53,0.52,3.97,missing 2 3 (0.015),7-2,0.925,0.92,0.315,0.14,0.13,9.91,missing 7 13 (0.065),13-2,0.91,0.91,0.345,0.05,0.05,14.21,missing 13 15 (0.075),13-7-2,0.83,0.82,0.295,0.015,0.015,20.48,missing 7 19 (0.095)
llocg_db_out_full/decklists/deck_1d64365fb7bf71ac7081.tsv,5軸ミラステ,True,True,,2-2 -> 2-5-2 -> 2-11-2,83.5,200,29,4,2-2,0.965,0.965,0.495,0.495,0.47,3.92,missing 2 6 (0.03),2-5-2,0.755,0.755,0.455,0.255,0.18,8.24,missing 2 38 (0.19),2-11-2,0.49,0.49,0.06,0.015,0.005,12.24,missing 11 75 (0.375),15-5-2,0.54,0.43,0.165,0.005,0.005,14.74,missing 15 89 (0.445)
llocg_db_out_full/decklists/deck_fcc369ef393b3ed66e43.tsv,10軸ミラステ,True,True,,2-2 -> 2-4-2 -> 2-10-2,83.5,200,29,4,2-2,0.99,0.99,0.43,0.43,0.425,3.98,missing 2 2 (0.01),2-4-2,0.79,0.79,0.475,0.21,0.145,7.67,missing 2 34 (0.17),2-10-2,0.545,0.545,0.14,0.035,0.025,12.07,missing 10 63 (0.315),15-4-2,0.525,0.44,0.145,0.005,0.0,14.89,missing 15 88 (0.44)
