deck_path,deck_name,valid,playable,validation_error,recommended,recommended_score,trials,seed,max_turns,t1_target,t1_hit,t1_cumulative,t1_live,t1_live_cumulative,t1_combined_cumulative,t1_avg_stage_cost,t1_top_miss,t2_target,t2_hit,t2_cumulative,t2_live,t2_live_cumulative,t2_combined_cumulative,t2_avg_stage_cost,t2_top_miss,t3_target,t3_hit,t3_cumulative,t3_live,t3_live_cumulative,t3_combined_cumulative,t3_avg_stage_cost,t3_top_miss,t4_target,t4_hit,t4_cumulative,t4_live,t4_live_cumulative,t4_combined_cumulative,t4_avg_stage_cost,t4_top_miss
llocg_db_out_full/decklists/deck_2d69085d8135c787adcc.tsv,君ここ,True,True,,2-2 -> 7-2 -> 13-2,88.5,50,29,4,2-2,0.98,0.98,0.34,0.34,0.32,3.96,missing 2 1 (0.02),7-2,0.9,0.9,0.42,0.14,0.12,9.62,missing 7 5 (0.1),13-2,0.88,0.88,0.32,0.04,0.02,14.16,missing 13 6 (0.12),13-7-2,0.8,0.8,0.26,0.0,0.0,20.48,missing 13 5 (0.1)
llocg_db_out_full/decklists/deck_1d64365fb7bf71ac7081.tsv,5軸ミラステ,True,True,,2-2 -> 2-5-2 -> 2-11-2,83.5,50,29,4,2-2,0.98,0.98,0.36,0.36,0.34,3.96,missing 2 1 (0.02),2-5-2,0.84,0.84,0.6,0.22,0.16,8.1,missing 4 4 (0.08),2-11-2,0.58,0.58,0.06,0.0,0.0,12.62,missing 11 21 (0.42),15-5-2,0.46,0.46,0.16,0.0,0.0,17.96,missing 15 27 (0.54)
llocg_db_out_full/decklists/deck_fcc369ef393b3ed66e43.tsv,10軸ミラステ,True,True,,2-2 -> 2-4-2 -> 2-10-2,83.5,50,29,4,2-2,1.0,1.0,0.22,0.22,0.22,4.0,,2-4-2,0.86,0.86,0.6,0.08,0.06,7.88,missing 2 5 (0.1),2-10-2,0.56,0.56,0.2,0.02,0.0,12.64,missing 10 20 (0.4),15-4-2,0.46,0.44,0.1,0.0,0.0,17.62,missing 15 27 (0.54)
