deck_path,deck_name,valid,playable,validation_error,recommended,recommended_score,trials,seed,max_turns,t1_target,t1_hit,t1_cumulative,t1_live,t1_live_cumulative,t1_combined_cumulative,t1_avg_stage_cost,t1_top_miss,t2_target,t2_hit,t2_cumulative,t2_live,t2_live_cumulative,t2_combined_cumulative,t2_avg_stage_cost,t2_top_miss,t3_target,t3_hit,t3_cumulative,t3_live,t3_live_cumulative,t3_combined_cumulative,t3_avg_stage_cost,t3_top_miss,t4_target,t4_hit,t4_cumulative,t4_live,t4_live_cumulative,t4_combined_cumulative,t4_avg_stage_cost,t4_top_miss
llocg_db_out_full/decklists/deck_2d69085d8135c787adcc.tsv,君ここ,True,True,,2-2 -> 7-2 -> 13-2,88.5,200,29,4,2-2,0.985,0.985,0.53,0.53,0.52,3.97,missing 2 3 (0.015),7-2,0.925,0.92,0.315,0.14,0.13,9.91,missing 7 13 (0.065),13-2,0.91,0.91,0.345,0.05,0.05,14.21,missing 13 15 (0.075),13-7-2,0.83,0.82,0.295,0.015,0.015,20.48,missing 7 19 (0.095)
llocg_db_out_full/decklists/deck_1d64365fb7bf71ac7081.tsv,5軸ミラステ,True,True,,2-2 -> 2-5-2 -> 2-11-2,83.5,200,29,4,2-2,0.965,0.965,0.545,0.545,0.525,3.92,missing 2 6 (0.03),2-5-2,0.74,0.74,0.5,0.31,0.205,8.21,missing 2 38 (0.19),2-11-2,0.495,0.495,0.08,0.03,0.015,12.24,missing 11 72 (0.36),15-5-2,0.535,0.425,0.15,0.005,0.005,14.73,missing 15 89 (0.445)
llocg_db_out_full/decklists/deck_fcc369ef393b3ed66e43.tsv,10軸ミラステ,True,True,,2-2 -> 2-4-2 -> 2-10-2,83.5,200,29,4,2-2,0.985,0.985,0.555,0.555,0.545,3.97,missing 2 3 (0.015),2-4-2,0.765,0.765,0.52,0.315,0.215,7.59,missing 2 34 (0.17),2-10-2,0.57,0.57,0.155,0.04,0.01,12.04,missing 10 62 (0.31),15-4-2,0.515,0.445,0.145,0.015,0.0,14.76,missing 15 91 (0.455)
