deck_path,deck_name,before_found,recommended_before,recommended_after,t1_hit_before,t1_hit_after,t1_hit_delta,t1_cumulative_before,t1_cumulative_after,t1_cumulative_delta,t1_live_before,t1_live_after,t1_live_delta,t1_live_cumulative_before,t1_live_cumulative_after,t1_live_cumulative_delta,t1_combined_cumulative_before,t1_combined_cumulative_after,t1_combined_cumulative_delta,t1_avg_stage_cost_before,t1_avg_stage_cost_after,t1_avg_stage_cost_delta,t2_hit_before,t2_hit_after,t2_hit_delta,t2_cumulative_before,t2_cumulative_after,t2_cumulative_delta,t2_live_before,t2_live_after,t2_live_delta,t2_live_cumulative_before,t2_live_cumulative_after,t2_live_cumulative_delta,t2_combined_cumulative_before,t2_combined_cumulative_after,t2_combined_cumulative_delta,t2_avg_stage_cost_before,t2_avg_stage_cost_after,t2_avg_stage_cost_delta,t3_hit_before,t3_hit_after,t3_hit_delta,t3_cumulative_before,t3_cumulative_after,t3_cumulative_delta,t3_live_before,t3_live_after,t3_live_delta,t3_live_cumulative_before,t3_live_cumulative_after,t3_live_cumulative_delta,t3_combined_cumulative_before,t3_combined_cumulative_after,t3_combined_cumulative_delta,t3_avg_stage_cost_before,t3_avg_stage_cost_after,t3_avg_stage_cost_delta,t4_hit_before,t4_hit_after,t4_hit_delta,t4_cumulative_before,t4_cumulative_after,t4_cumulative_delta,t4_live_before,t4_live_after,t4_live_delta,t4_live_cumulative_before,t4_live_cumulative_after,t4_live_cumulative_delta,t4_combined_cumulative_before,t4_combined_cumulative_after,t4_combined_cumulative_delta,t4_avg_stage_cost_before,t4_avg_stage_cost_after,t4_avg_stage_cost_delta,t1_top_miss_before,t1_top_miss_after,t2_top_miss_before,t2_top_miss_after,t3_top_miss_before,t3_top_miss_after,t4_top_miss_before,t4_top_miss_after,any_metric_changed
llocg_db_out_full/decklists/deck_2d69085d8135c787adcc.tsv,君ここ,True,2-2 -> 7-2 -> 13-2,2-2 -> 7-2 -> 13-2,0.985,0.985,0.0,0.985,0.985,0.0,0.34,0.34,0.0,0.34,0.34,0.0,0.325,0.325,0.0,5.6,3.96,-1.64,0.73,0.73,0.0,0.715,0.715,0.0,0.135,0.135,0.0,0.095,0.095,0.0,0.045,0.045,0.0,10.16,10.59,0.43,0.915,0.915,0.0,0.64,0.64,0.0,0.12,0.12,0.0,0.02,0.02,0.0,0.01,0.01,0.0,20.59,23.48,2.89,0.995,0.995,0.0,0.64,0.64,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.79,25.93,0.14,missing 2 2 (0.01),missing 2 2 (0.01),missing 7 54 (0.27),missing 7 54 (0.27),missing 13 17 (0.085),missing 13 17 (0.085),missing 13 1 (0.005),missing 13 1 (0.005),True
llocg_db_out_full/decklists/deck_1d64365fb7bf71ac7081.tsv,5軸ミラステ,True,2-2 -> 2-5-2 -> 2-11-2,2-2 -> 2-5-2 -> 2-11-2,0.97,0.97,0.0,0.97,0.97,0.0,0.17,0.17,0.0,0.17,0.17,0.0,0.16,0.16,0.0,7.67,6.04,-1.63,0.865,0.865,0.0,0.86,0.86,0.0,0.485,0.485,0.0,0.075,0.075,0.0,0.05,0.05,0.0,8.79,9.52,0.73,0.89,0.89,0.0,0.76,0.76,0.0,0.105,0.105,0.0,0.01,0.01,0.0,0.0,0.0,0.0,16.98,17.42,0.44,0.625,0.625,0.0,0.44,0.44,0.0,0.035,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.54,28.61,0.07,missing 2 5 (0.025),missing 2 5 (0.025),missing 4 23 (0.115),missing 4 23 (0.115),missing 11 22 (0.11),missing 11 22 (0.11),missing 15 75 (0.375),missing 15 75 (0.375),True
llocg_db_out_full/decklists/deck_fcc369ef393b3ed66e43.tsv,10軸ミラステ,True,2-2 -> 2-4-2 -> 2-10-2,2-2 -> 2-4-2 -> 2-10-2,0.98,0.98,0.0,0.98,0.98,0.0,0.095,0.095,0.0,0.095,0.095,0.0,0.09,0.09,0.0,8.86,6.76,-2.1,0.905,0.905,0.0,0.9,0.9,0.0,0.47,0.47,0.0,0.055,0.055,0.0,0.045,0.045,0.0,9.15,9.53,0.38,0.93,0.93,0.0,0.83,0.83,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.59,21.68,0.09,0.66,0.66,0.0,0.525,0.525,0.0,0.065,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7,30.7,0.0,missing 2 4 (0.02),missing 2 4 (0.02),missing 4 15 (0.075),missing 4 15 (0.075),missing 10 14 (0.07),missing 10 14 (0.07),missing 15 68 (0.34),missing 15 68 (0.34),True
