deck_path,deck_name,valid,playable,validation_error,recommended,recommended_score,trials,seed,max_turns,t1_target,t1_hit,t1_cumulative,t1_live,t1_live_cumulative,t1_combined_cumulative,t1_avg_stage_cost,t1_top_miss,t2_target,t2_hit,t2_cumulative,t2_live,t2_live_cumulative,t2_combined_cumulative,t2_avg_stage_cost,t2_top_miss,t3_target,t3_hit,t3_cumulative,t3_live,t3_live_cumulative,t3_combined_cumulative,t3_avg_stage_cost,t3_top_miss,t4_target,t4_hit,t4_cumulative,t4_live,t4_live_cumulative,t4_combined_cumulative,t4_avg_stage_cost,t4_top_miss
llocg_db_out_full/decklists/deck_2d69085d8135c787adcc.tsv,君ここ,True,True,,2-2 -> 7-2 -> 13-2,88.5,200,29,4,2-2,0.985,0.985,0.4,0.4,0.385,3.97,missing 2 3 (0.015),7-2,0.765,0.765,0.17,0.105,0.065,8.85,missing 7 47 (0.235),13-2,0.0,0.0,0.125,0.015,0.0,11.44,missing 13 200 (1.0),13-7-2,0.0,0.0,0.13,0.0,0.0,14.45,missing 13 184 (0.92)
llocg_db_out_full/decklists/deck_1d64365fb7bf71ac7081.tsv,5軸ミラステ,True,True,,2-2 -> 2-5-2 -> 2-11-2,83.5,200,29,4,2-2,0.975,0.975,0.325,0.325,0.31,3.94,missing 2 4 (0.02),2-5-2,0.81,0.81,0.535,0.195,0.145,8.13,missing 4 20 (0.1),2-11-2,0.0,0.0,0.06,0.02,0.0,10.56,missing 11 200 (1.0),15-5-2,0.0,0.0,0.01,0.0,0.0,13.41,missing 15 200 (1.0)
llocg_db_out_full/decklists/deck_fcc369ef393b3ed66e43.tsv,10軸ミラステ,True,True,,2-2 -> 2-4-2 -> 2-10-2,83.5,200,29,4,2-2,0.985,0.985,0.215,0.215,0.215,3.97,missing 2 3 (0.015),2-4-2,0.86,0.86,0.53,0.135,0.115,7.85,missing 2 17 (0.085),2-10-2,0.0,0.0,0.08,0.02,0.0,10.32,missing 10 200 (1.0),15-4-2,0.0,0.0,0.06,0.005,0.0,14.13,missing 15 200 (1.0)
