deck_path,deck_name,valid,playable,validation_error,recommended,recommended_score,trials,seed,max_turns,t1_target,t1_hit,t1_cumulative,t1_live,t1_live_cumulative,t1_combined_cumulative,t1_avg_stage_cost,t1_top_miss,t2_target,t2_hit,t2_cumulative,t2_live,t2_live_cumulative,t2_combined_cumulative,t2_avg_stage_cost,t2_top_miss,t3_target,t3_hit,t3_cumulative,t3_live,t3_live_cumulative,t3_combined_cumulative,t3_avg_stage_cost,t3_top_miss,t4_target,t4_hit,t4_cumulative,t4_live,t4_live_cumulative,t4_combined_cumulative,t4_avg_stage_cost,t4_top_miss
llocg_db_out_full/decklists/deck_2d69085d8135c787adcc.tsv,君ここ,True,True,,2-2 -> 7-2 -> 13-2,88.5,200,29,4,2-2,0.985,0.985,0.53,0.53,0.52,3.97,missing 2 3 (0.015),7-2,0.92,0.915,0.32,0.145,0.13,9.89,missing 7 14 (0.07),13-2,0.905,0.905,0.345,0.05,0.05,14.16,missing 13 16 (0.08),13-7-2,0.83,0.82,0.295,0.015,0.015,20.43,missing 7 18 (0.09)
llocg_db_out_full/decklists/deck_1d64365fb7bf71ac7081.tsv,5軸ミラステ,True,True,,2-2 -> 2-5-2 -> 2-11-2,83.5,200,29,4,2-2,0.97,0.97,0.55,0.55,0.53,3.93,missing 2 5 (0.025),2-5-2,0.785,0.785,0.51,0.32,0.23,8.36,missing 2 34 (0.17),2-11-2,0.525,0.525,0.09,0.03,0.015,12.51,missing 11 69 (0.345),15-5-2,0.52,0.42,0.14,0.005,0.005,14.91,missing 15 92 (0.46)
llocg_db_out_full/decklists/deck_fcc369ef393b3ed66e43.tsv,10軸ミラステ,True,True,,2-2 -> 2-4-2 -> 2-10-2,83.5,200,29,4,2-2,0.995,0.995,0.605,0.605,0.6,3.99,missing 2 1 (0.005),2-4-2,0.79,0.79,0.535,0.35,0.245,7.68,missing 2 33 (0.165),2-10-2,0.59,0.59,0.19,0.055,0.015,12.37,missing 10 55 (0.275),15-4-2,0.52,0.445,0.165,0.015,0.0,15.12,missing 15 90 (0.45)
