deck_path,deck_name,before_found,recommended_before,recommended_after,t1_hit_before,t1_hit_after,t1_hit_delta,t1_cumulative_before,t1_cumulative_after,t1_cumulative_delta,t1_live_before,t1_live_after,t1_live_delta,t1_live_cumulative_before,t1_live_cumulative_after,t1_live_cumulative_delta,t1_combined_cumulative_before,t1_combined_cumulative_after,t1_combined_cumulative_delta,t1_avg_stage_cost_before,t1_avg_stage_cost_after,t1_avg_stage_cost_delta,t2_hit_before,t2_hit_after,t2_hit_delta,t2_cumulative_before,t2_cumulative_after,t2_cumulative_delta,t2_live_before,t2_live_after,t2_live_delta,t2_live_cumulative_before,t2_live_cumulative_after,t2_live_cumulative_delta,t2_combined_cumulative_before,t2_combined_cumulative_after,t2_combined_cumulative_delta,t2_avg_stage_cost_before,t2_avg_stage_cost_after,t2_avg_stage_cost_delta,t3_hit_before,t3_hit_after,t3_hit_delta,t3_cumulative_before,t3_cumulative_after,t3_cumulative_delta,t3_live_before,t3_live_after,t3_live_delta,t3_live_cumulative_before,t3_live_cumulative_after,t3_live_cumulative_delta,t3_combined_cumulative_before,t3_combined_cumulative_after,t3_combined_cumulative_delta,t3_avg_stage_cost_before,t3_avg_stage_cost_after,t3_avg_stage_cost_delta,t4_hit_before,t4_hit_after,t4_hit_delta,t4_cumulative_before,t4_cumulative_after,t4_cumulative_delta,t4_live_before,t4_live_after,t4_live_delta,t4_live_cumulative_before,t4_live_cumulative_after,t4_live_cumulative_delta,t4_combined_cumulative_before,t4_combined_cumulative_after,t4_combined_cumulative_delta,t4_avg_stage_cost_before,t4_avg_stage_cost_after,t4_avg_stage_cost_delta,t1_top_miss_before,t1_top_miss_after,t2_top_miss_before,t2_top_miss_after,t3_top_miss_before,t3_top_miss_after,t4_top_miss_before,t4_top_miss_after,any_metric_changed
llocg_db_out_full/decklists/deck_2d69085d8135c787adcc.tsv,君ここ,True,2-2 -> 7-2 -> 13-2,2-2 -> 7-2 -> 13-2,0.985,0.985,0.0,0.985,0.985,0.0,0.4,0.53,0.13,0.4,0.53,0.13,0.385,0.52,0.135,3.97,3.97,0.0,0.91,0.925,0.015,0.91,0.92,0.01,0.36,0.315,-0.045,0.14,0.14,0.0,0.12,0.13,0.01,9.78,9.9,0.12,0.9,0.91,0.01,0.9,0.91,0.01,0.31,0.345,0.035,0.03,0.05,0.02,0.025,0.05,0.025,14.3,14.34,0.04,0.795,0.82,0.025,0.795,0.82,0.025,0.305,0.295,-0.01,0.015,0.015,0.0,0.015,0.015,0.0,20.57,20.71,0.14,missing 2 3 (0.015),missing 2 3 (0.015),missing 7 18 (0.09),missing 7 14 (0.07),missing 13 20 (0.1),missing 13 18 (0.09),missing 7 22 (0.11),missing 7 18 (0.09),True
llocg_db_out_full/decklists/deck_1d64365fb7bf71ac7081.tsv,5軸ミラステ,True,2-2 -> 2-5-2 -> 2-11-2,2-2 -> 2-5-2 -> 2-11-2,0.975,0.965,-0.01,0.975,0.965,-0.01,0.325,0.495,0.17,0.325,0.495,0.17,0.31,0.47,0.16,3.94,3.92,-0.02,0.795,0.755,-0.04,0.795,0.755,-0.04,0.565,0.455,-0.11,0.195,0.255,0.06,0.135,0.18,0.045,8.2,8.29,0.09,0.52,0.495,-0.025,0.52,0.495,-0.025,0.06,0.06,0.0,0.02,0.015,-0.005,0.005,0.005,0.0,12.52,12.68,0.16,0.43,0.435,0.005,0.425,0.425,0.0,0.13,0.155,0.025,0.0,0.005,0.005,0.0,0.005,0.005,17.37,17.61,0.24,missing 2 4 (0.02),missing 2 6 (0.03),missing 2 24 (0.12),missing 2 37 (0.185),missing 11 95 (0.475),missing 11 97 (0.485),missing 15 114 (0.57),missing 15 112 (0.56),True
llocg_db_out_full/decklists/deck_fcc369ef393b3ed66e43.tsv,10軸ミラステ,True,2-2 -> 2-4-2 -> 2-10-2,2-2 -> 2-4-2 -> 2-10-2,0.985,0.99,0.005,0.985,0.99,0.005,0.215,0.43,0.215,0.215,0.43,0.215,0.215,0.425,0.21,3.97,3.98,0.01,0.855,0.79,-0.065,0.855,0.79,-0.065,0.6,0.475,-0.125,0.135,0.21,0.075,0.11,0.145,0.035,7.77,7.69,-0.08,0.455,0.41,-0.045,0.455,0.41,-0.045,0.13,0.14,0.01,0.02,0.035,0.015,0.005,0.025,0.02,11.78,11.48,-0.3,0.38,0.375,-0.005,0.37,0.355,-0.015,0.14,0.145,0.005,0.0,0.005,0.005,0.0,0.0,0.0,16.78,16.41,-0.37,missing 2 3 (0.015),missing 2 2 (0.01),missing 2 19 (0.095),missing 2 34 (0.17),missing 10 105 (0.525),missing 10 109 (0.545),missing 15 124 (0.62),missing 15 121 (0.605),True
